id,cargo,senioridade,setor,salario,regiao,empresa,modalidade,created_at,updated_at,ano,em_alta,area,especialidade
135,"Operador de Prensa",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
136,Soldador,NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
137,"Técnico Soldador Mecânico",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
138,Soldador,NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
139,Soldador,NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
140,"Soldador D",NULL,"Industrial e Produção",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
141,"Soldador MIG",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
142,"SERRALHEIRO SOLDADOR",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
143,"Soldador Montador",NULL,"Industrial e Produção",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
144,"SOLDADOR TIG",NULL,"Industrial e Produção",4501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
145,"soldador MIG",NULL,"Industrial e Produção",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
146,"Soldador MIG",NULL,"Industrial e Produção",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
147,"Motorista Entregador",NULL,"Transportes e Logística",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
148,"Vigilante Condutor ",NULL,"Transportes e Logística",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
149,"Motorista Entregador",NULL,"Transportes e Logística",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
150,Motorista,NULL,"Transportes e Logística",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
151,"Motorista Categoria B",NULL,"Transportes e Logística",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
152,"Motorista Categoria D",NULL,"Transportes e Logística",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
153,"Motorista Particular",NULL,"Transportes e Logística",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
154,"Ajudante de Motorista",NULL,"Transportes e Logística",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
155,Motorista,NULL,"Transportes e Logística",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
156,"Motorista Operacional Categoria D",NULL,"Transportes e Logística",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
157,"Motorista Categoria B",NULL,"Transportes e Logística",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
158,"Motorista Categoria C e D",NULL,"Transportes e Logística",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
159,"Motorista Categoria B",NULL,"Transportes e Logística",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
160,"MOTORISTA DE VAN ESCOLAR",NULL,"Transportes e Logística",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
